project;version;from;to;days;commits;commitsPerDay;accumulated_commits;committers;committers_weigth;changes;additions;deletions;changed_files;bugs;code_smells;cognitive_complexity;critical_violations;complexity;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;info_violations;violations;major_violations;minor_violations;open_issues;statements;;
Ant-Media-Server;1.3.6.1;2018-06-16T21:58:18+0200;2018-06-18T17:38:52+0200;2;8;4.0;483;3;0.2369;279216;2645;276571;81;24;1443;3871;232;3864;18;10;428;1.1;62;1649;790;559;1649;9721;;
Ant-Media-Server;1.3.6.1-SNAPSHOT;2018-06-01T10:12:09+0200;2018-06-16T21:58:18+0200;16;164;10.25;475;7;0.017;2224315;1390379;833936;142;24;1443;3865;232;3856;18;10;428;1.1;62;1649;790;559;1649;9702;;
Ant-Media-Server;1.3.5.1;2018-05-24T16:18:37+0200;2018-06-01T10:12:09+0200;8;46;5.75;311;6;0.0637;3206;2080;1126;64;26;1606;3793;266;3715;22;10;506;1.4;63;1862;868;659;1862;9430;;
Ant-Media-Server;1.3.9-SNAPSHOT;2018-05-03T10:45:49+0200;2018-05-24T16:18:37+0200;22;104;47.273;265;4;0.037;13817;8695;5122;83;26;1606;3793;266;3715;22;10;506;1.4;63;1862;868;659;1862;9430;;
Ant-Media-Server;1.3.4;2018-05-02T04:42:04+0200;2018-05-03T10:45:49+0200;2;11;5.5;161;2;0.4959;3112;1650;1462;65;24;1568;3718;266;3652;22;10;571;1.6;64;1813;847;630;1813;9289;;
Ant-Media-Server;1.3.3;2018-04-21T12:51:04+0200;2018-05-02T04:42:04+0200;11;60;54.546;150;4;0.0425;1383382;829113;554269;119;24;1568;3718;266;3652;22;10;571;1.6;64;1813;847;630;1813;9289;;
Ant-Media-Server;1.3.3-SNAPSHOT;2018-04-16T13:28:35+0200;2018-04-21T12:51:04+0200;5;18;3.6;90;3;0.2108;1108;803;305;19;39;1539;3638;269;3599;22;8;598;1.7;64;1789;844;605;1789;9118;;
Ant-Media-Server;1.3.2;2018-04-12T09:33:50+0200;2018-04-16T13:28:35+0200;5;14;2.8;72;4;0.122;610;348;262;26;40;1559;3638;275;3599;22;8;598;1.7;64;1809;854;609;1809;9118;;
Ant-Media-Server;1.3.1;2018-04-04T18:40:27+0200;2018-04-12T09:33:50+0200;8;45;5.625;58;3;0.0611;9432;5967;3465;85;40;1559;3638;275;3599;22;8;598;1.7;64;1809;854;609;1809;9118;;
Ant-Media-Server;1.3.0;2018-04-02T22:18:44+0200;2018-04-04T18:40:27+0200;2;13;6.5;13;3;0.1679;35354;1379;33975;302;40;1561;3649;276;3607;22;8;598;1.7;64;1813;856;610;1813;9148;;
jradio;1.26-SNAPSHOT;2020-02-19T08:37:49+0100;2020-03-03T08:48:52+0100;14;5;0.3572;353;1;1.0;57;45;12;7;0;182;2228;26;11965;183;72;5460;8.2;2;182;94;60;181;20059;;
